"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"com.sun.istack:istack-commons-runtime:4.1.1","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"com.sun.mail:jakarta.mail:2.0.1","http://www.oracle.com","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"com.thoughtworks.qdox:qdox:1.12","http://qdox.codehaus.org","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.zaxxer:HikariCP:5.0.1","https://github.com/brettwooldridge/HikariCP","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"commons-codec:commons-codec:1.15","https://commons.apache.org/proper/commons-codec/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"commons-io:commons-io:2.11.0","https://commons.apache.org/proper/commons-io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.github.classgraph:classgraph:4.8.149","https://github.com/classgraph/classgraph","MIT License","https://opensource.org/licenses/MIT",
"io.gsonfire:gson-fire:1.8.5","http://gsonfire.io","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.kubernetes:client-java:13.0.2","https://github.com/kubernetes-client/java","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.kubernetes:client-java-api:13.0.2","https://github.com/kubernetes-client/java","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.kubernetes:client-java-api-fluent:13.0.2","https://github.com/kubernetes-client/java","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.kubernetes:client-java-extended:13.0.2","https://github.com/kubernetes-client/java","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.kubernetes:client-java-proto:13.0.2","https://github.com/kubernetes-client/java","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.kubernetes:client-java-spring-integration:13.0.2","https://github.com/kubernetes-client/java","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.lettuce:lettuce-core:6.2.2.RELEASE","http://github.com/lettuce-io/lettuce-core","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-commons:1.10.3","https://github.com/micrometer-metrics/micrometer","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-core:1.10.4","https://github.com/micrometer-metrics/micrometer","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-observation:1.10.3","https://github.com/micrometer-metrics/micrometer","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-registry-prometheus:1.10.4","https://github.com/micrometer-metrics/micrometer","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-all:4.1.86.Final","https://netty.io/netty-all/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-buffer:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-dns:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-haproxy:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-http:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-http2:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-memcache:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-mqtt:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-redis:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-smtp:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-socks:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-stomp:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec-xml:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-common:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-handler:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-handler-proxy:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-handler-ssl-ocsp:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-resolver:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-resolver-dns:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-resolver-dns-classes-macos:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-resolver-dns-native-macos:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-classes-epoll:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-classes-kqueue:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-native-epoll:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-native-kqueue:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-native-unix-common:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-rxtx:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-sctp:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-udt:4.1.87.Final","https://netty.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.projectreactor:reactor-core:3.5.2","https://github.com/reactor/reactor-core","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.projectreactor.addons:reactor-pool:1.0.0","https://github.com/reactor/reactor-pool","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.projectreactor.netty:reactor-netty-core:1.1.2","https://github.com/reactor/reactor-netty","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.projectreactor.netty:reactor-netty-http:1.1.3","https://github.com/reactor/reactor-netty","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:simpleclient:0.16.0",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:simpleclient_common:0.16.0",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:simpleclient_httpserver:0.16.0",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:simpleclient_tracer_common:0.16.0",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:simpleclient_tracer_otel:0.16.0",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:simpleclient_tracer_otel_agent:0.16.0",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.r2dbc:r2dbc-pool:1.0.0.RELEASE","https://github.com/r2dbc/r2dbc-pool","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.r2dbc:r2dbc-spi:1.0.0.RELEASE","https://r2dbc.io/r2dbc-spi","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.sentry:sentry:6.16.0","https://github.com/getsentry/sentry-java","MIT License","https://opensource.org/licenses/MIT",
"io.sentry:sentry-spring:6.16.0","https://github.com/getsentry/sentry-java","MIT License","https://opensource.org/licenses/MIT",
"io.sentry:sentry-spring-boot-starter:6.16.0","https://github.com/getsentry/sentry-java","MIT License","https://opensource.org/licenses/MIT",
"io.swagger:swagger-annotations:1.6.2",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.swagger.core.v3:swagger-annotations:2.2.7","https://github.com/swagger-api/swagger-core/modules/swagger-annotations","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.swagger.core.v3:swagger-core:2.2.7","https://github.com/swagger-api/swagger-core/modules/swagger-core","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.swagger.core.v3:swagger-models:2.2.7","https://github.com/swagger-api/swagger-core/modules/swagger-models","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"jakarta.activation:jakarta.activation-api:2.1.1","https://www.eclipse.org","PUBLIC DOMAIN",,
"jakarta.annotation:jakarta.annotation-api:2.1.1","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.inject:jakarta.inject-api:2.0.0","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.mail:jakarta.mail-api:2.1.1","https://www.eclipse.org","PUBLIC DOMAIN",,
"jakarta.persistence:jakarta.persistence-api:3.1.0","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.transaction:jakarta.transaction-api:2.0.1","https://projects.eclipse.org/projects/ee4j.jta","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.validation:jakarta.validation-api:3.0.2","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.xml.bind:jakarta.xml.bind-api:3.0.1","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"javax.annotation:javax.annotation-api:1.3.2","https://javaee.github.io/glassfish","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0","https://oss.oracle.com/licenses/CDDL",
"junit:junit:4.13.2","http://junit.org","Eclipse Public License - v 1.0","http://www.eclipse.org/legal/epl-v10.html",
"net.arnx:wmf2svg:0.9.8","http://wmf2svg.sourceforge.jp/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"net.bytebuddy:byte-buddy:1.12.22",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"net.engio:mbassador:1.3.2","https://github.com/bennidi/mbassador","MIT License","https://opensource.org/licenses/MIT",
"net.minidev:accessors-smart:2.4.9","https://urielch.github.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"net.minidev:json-smart:2.4.10","https://urielch.github.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.antlr:antlr-runtime:3.5.2","http://www.antlr.org","BSD 4-Clause \"Original\" or \"Old\" License","http://directory.fsf.org/wiki/License:BSD_4Clause",
"org.antlr:antlr4-runtime:4.10.1","http://www.antlr.org","The BSD License","http://www.antlr.org/license.html",
"org.antlr:stringtemplate:3.2.1","http://www.stringtemplate.org","BSD 4-Clause \"Original\" or \"Old\" License","http://directory.fsf.org/wiki/License:BSD_4Clause",
"org.apache.commons:commons-collections4:4.4","https://commons.apache.org/proper/commons-collections/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.commons:commons-compress:1.21","https://commons.apache.org/proper/commons-compress/","PUBLIC DOMAIN",,
"org.apache.commons:commons-lang3:3.12.0","https://commons.apache.org/proper/commons-lang/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.commons:commons-text:1.10.0","https://commons.apache.org/proper/commons-text","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.httpcomponents:httpclient:4.5.14","http://hc.apache.org/httpcomponents-client-ga","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.httpcomponents:httpcore:4.4.16","http://hc.apache.org/httpcomponents-core-ga","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.logging.log4j:log4j-api:2.19.0","https://www.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.logging.log4j:log4j-to-slf4j:2.19.0","https://www.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.pdfbox:fontbox:2.0.24","http://pdfbox.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
